CBSA,new_housing_units_permitted,year
31020,195,2013
31100,25198,2013
31140,4017,2013
31180,2048,2013
31340,989,2013
31420,448,2013
31460,219,2013
31540,2966,2013
31700,567,2013
31740,567,2013
31860,506,2013
31900,70,2013
32580,3294,2013
32780,644,2013
32820,3650,2013
32900,154,2013
33100,19921,2013
33140,113,2013
33260,1824,2013
33340,1949,2013
33460,12033,2013
33540,569,2013
33660,872,2013
33700,319,2013
33740,633,2013
33780,200,2013
33860,854,2013
34060,137,2013
34100,172,2013
34580,283,2013
34620,284,2013
34740,184,2013
34820,3173,2013
34900,215,2013
34940,2678,2013
34980,10889,2013
35300,815,2013
35380,2616,2013
35620,39824,2013
35660,191,2013
35840,5423,2013
35980,372,2013
36100,630,2013
36140,658,2013
36220,1290,2013
36260,2692,2013
36420,7505,2013
36500,1289,2013
36540,4464,2013
36740,15563,2013
36780,387,2013
36980,521,2013
37100,1001,2013
37340,1373,2013
37380,553,2013
37460,592,2013
37620,92,2013
37700,286,2013
37860,2131,2013
37900,618,2013
37980,11217,2013
38060,18737,2013
38220,137,2013
38300,4563,2013
38340,99,2013
38540,172,2013
38940,1117,2013
38860,1818,2013
38900,11730,2013
39100,1153,2013
39140,861,2013
39300,1974,2013
39340,3423,2013
39380,158,2013
39460,553,2013
39540,210,2013
39580,11431,2013
39660,956,2013
39740,500,2013
39820,204,2013
39900,1720,2013
40060,5005,2013
40140,9348,2013
40220,685,2013
40340,638,2013
40380,1292,2013
40420,96,2013
40580,250,2013
40660,62,2013
40900,4189,2013
40980,211,2013
41420,950,2013
41500,436,2013
41540,734,2013
41620,5528,2013
41660,526,2013
41700,6128,2013
41740,8264,2013
41860,10922,2013
41940,7764,2013
42020,647,2013
41780,80,2013
42060,405,2013
42100,294,2013
42140,183,2013
42220,1046,2013
42340,1750,2013
42540,516,2013
42660,19517,2013
42680,551,2013
43100,99,2013
43300,363,2013
43340,1584,2013
43580,385,2013
43620,2409,2013
43780,500,2013
43900,1198,2013
44060,1634,2013
44100,340,2013
44140,544,2013
44180,1975,2013
44220,72,2013
41060,597,2013
41100,1885,2013
41140,123,2013
41180,5548,2013
44300,777,2013
44600,51,2013
44700,1134,2013
44940,583,2013
45060,1046,2013
45220,1280,2013
45300,12152,2013
45460,269,2013
45500,127,2013
45780,874,2013
45820,282,2013
45940,988,2013
46060,3491,2013
46140,3725,2013
46220,1026,2013
46340,373,2013
46540,353,2013
46660,437,2013
46700,775,2013
47020,658,2013
47220,219,2013
47260,7377,2013
47300,946,2013
47380,676,2013
47580,789,2013
47900,24033,2013
47940,431,2013
48140,288,2013
48300,706,2013
48540,50,2013
48660,217,2013
48620,1504,2013
48700,139,2013
48900,4057,2013
49020,421,2013
49180,1503,2013
49340,1341,2013
49420,358,2013
49620,928,2013
49660,356,2013
49700,202,2013
49740,674,2013
10180,284,2014
10420,763,2014
10500,271,2014
10540,393,2014
10580,2231,2014
10740,2543,2014
10780,323,2014
10900,1801,2014
11020,100,2014
11100,918,2014
11180,539,2014
11260,887,2014
11460,570,2014
11500,114,2014
11540,930,2014
11700,1832,2014
12020,930,2014
12060,26683,2014
12100,722,2014
12220,943,2014
12260,2847,2014
12420,19949,2014
12540,2297,2014
12580,7100,2014
12620,231,2014
12700,640,2014
12940,3568,2014
12980,56,2014
13020,62,2014
13140,1606,2014
13220,125,2014
13380,1007,2014
13460,1330,2014
13740,651,2014
13780,85,2014
13820,3364,2014
13900,1771,2014
13980,353,2014
14010,271,2014
14020,539,2014
14100,113,2014
14260,5183,2014
14460,12024,2014
14500,1371,2014
14540,603,2014
14740,598,2014
14860,1889,2014
15180,1417,2014
15260,462,2014
15380,1878,2014
15500,606,2014
15540,706,2014
15680,457,2014
15940,551,2014
15980,4095,2014
16020,187,2014
16060,245,2014
16180,35,2014
16220,330,2014
16300,881,2014
16540,356,2014
16580,1489,2014
16620,321,2014
16700,6155,2014
16740,18537,2014
16820,873,2014
16860,2346,2014
16940,403,2014
16980,15679,2014
17020,550,2014
17140,5206,2014
17300,1507,2014
17420,689,2014
17460,2900,2014
17660,1047,2014
17780,1803,2014
17820,3673,2014
17860,1414,2014
17900,4067,2014
17980,955,2014
18020,254,2014
18140,7044,2014
18580,2864,2014
18700,451,2014
18880,1666,2014
19060,57,2014
19100,41418,2014
19140,121,2014
19180,6,2014
19300,1384,2014
19340,655,2014
19380,779,2014
19460,136,2014
19500,53,2014
19660,1921,2014
19740,15767,2014
19780,4436,2014
19820,6295,2014
20020,336,2014
20100,998,2014
20220,276,2014
20260,598,2014
20500,2587,2014
20700,153,2014
20740,463,2014
20940,246,2014
21340,3043,2014
21060,492,2014
21140,270,2014
21300,61,2014
21500,321,2014
21660,1316,2014
21780,727,2014
21820,54,2014
22020,3766,2014
22140,173,2014
22180,1089,2014
22220,3353,2014
22380,560,2014
22420,343,2014
22500,379,2014
22520,197,2014
22540,240,2014
22660,2498,2014
22900,604,2014
23060,1245,2014
23420,1892,2014
23460,79,2014
23540,799,2014
23580,722,2014
23900,272,2014
24020,368,2014
24140,257,2014
24220,999,2014
24260,304,2014
24300,504,2014
24340,3171,2014
24420,149,2014
24500,463,2014
24540,2708,2014
24580,1004,2014
24660,2632,2014
24780,905,2014
24860,4479,2014
25060,1954,2014
25180,975,2014
25220,592,2014
25260,434,2014
25420,1602,2014
25500,404,2014
25540,1393,2014
25620,166,2014
25860,594,2014
25940,1426,2014
25980,242,2014
26140,233,2014
26300,43,2014
26380,664,2014
26420,63741,2014
26580,358,2014
26620,2817,2014
26820,482,2014
26900,8006,2014
26980,1104,2014
27060,301,2014
27100,89,2014
27140,1962,2014
27180,205,2014
27260,7781,2014
27340,1081,2014
27500,143,2014
27620,240,2014
27740,706,2014
27780,61,2014
27860,680,2014
27900,408,2014
27980,338,2014
28020,561,2014
28100,127,2014
28140,8201,2014
28420,1264,2014
28660,2371,2014
28700,340,2014
28740,289,2014
28940,3109,2014
29020,140,2014
29100,298,2014
29180,2362,2014
29200,1081,2014
29340,1302,2014
29420,535,2014
29460,2559,2014
29540,1109,2014
29620,755,2014
29700,1719,2014
29740,617,2014
29820,10036,2014
29940,347,2014
30020,114,2014
30140,348,2014
30300,90,2014
30340,91,2014
30460,1888,2014
30620,61,2014
30700,1994,2014
30780,2082,2014
30860,784,2014
30980,290,2014
31020,178,2014
31080,26950,2014
31140,4011,2014
31180,2136,2014
31340,921,2014
31420,218,2014
31460,214,2014
31540,3805,2014
31700,968,2014
31740,514,2014
31860,430,2014
31900,61,2014
32580,3473,2014
32780,747,2014
32820,3154,2014
32900,169,2014
33100,15259,2014
33140,125,2014
33220,262,2014
33260,1556,2014
33340,2355,2014
33460,11425,2014
33540,578,2014
33660,746,2014
33700,454,2014
33740,726,2014
33780,239,2014
33860,1129,2014
34060,101,2014
34100,151,2014
34580,274,2014
34620,98,2014
34740,181,2014
34820,5446,2014
34900,147,2014
34940,3610,2014
34980,14944,2014
35100,264,2014
35300,1140,2014
35380,2991,2014
35620,47984,2014
35660,184,2014
35840,5658,2014
35980,646,2014
36100,754,2014
36140,638,2014
36220,556,2014
36260,2678,2014
36420,7870,2014
36500,1003,2014
36540,4192,2014
36740,16115,2014
36780,511,2014
36980,323,2014
37100,1314,2014
37340,1286,2014
37460,693,2014
37620,124,2014
37860,1825,2014
37900,890,2014
37980,13631,2014
38060,20341,2014
38220,55,2014
38300,4190,2014
38340,177,2014
38540,162,2014
38940,1394,2014
38860,1696,2014
38900,12356,2014
39140,968,2014
39300,1775,2014
39340,5295,2014
39380,157,2014
39460,610,2014
39540,207,2014
39580,11647,2014
39660,671,2014
39740,458,2014
39820,242,2014
39900,2216,2014
40060,4312,2014
40140,10166,2014
40220,511,2014
40340,832,2014
40380,1791,2014
40420,150,2014
40580,216,2014
40660,75,2014
40900,4159,2014
40980,214,2014
41420,944,2014
41500,361,2014
41540,2796,2014
41620,5318,2014
41660,629,2014
41700,10332,2014
41740,6875,2014
41860,10001,2014
41940,10037,2014
42020,983,2014
42100,291,2014
42140,161,2014
42200,755,2014
42220,663,2014
42340,2211,2014
42540,2301,2014
42660,21953,2014
42680,707,2014
42700,92,2014
43100,111,2014
43300,271,2014
43340,1719,2014
43420,261,2014
43580,408,2014
43620,2330,2014
43780,512,2014
43900,1104,2014
44060,1960,2014
44100,455,2014
44140,506,2014
44180,2105,2014
44220,53,2014
41060,577,2014
41100,1628,2014
41140,104,2014
41180,6992,2014
44300,511,2014
44420,603,2014
44700,1265,2014
44940,289,2014
45060,1163,2014
45220,1260,2014
45300,12386,2014
45460,338,2014
45500,133,2014
45540,2570,2014
45780,1075,2014
45820,315,2014
45940,368,2014
46060,3250,2014
46140,4533,2014
46220,1386,2014
46340,389,2014
46520,1578,2014
46540,236,2014
46660,410,2014
46700,646,2014
47020,835,2014
47220,212,2014
47260,5715,2014
47300,1092,2014
47380,1471,2014
47460,214,2014
47580,780,2014
47900,24804,2014
47940,407,2014
48060,519,2014
48140,383,2014
48260,41,2014
48300,460,2014
48540,61,2014
48660,157,2014
48620,1514,2014
48700,214,2014
48900,2208,2014
49020,525,2014
49180,2085,2014
49340,1384,2014
49420,442,2014
49620,816,2014
49660,313,2014
49700,280,2014
49740,594,2014
10180,535,2015
10420,967,2015
10500,203,2015
10540,365,2015
10580,3623,2015
10740,2295,2015
10780,289,2015
10900,1356,2015
11020,117,2015
11100,880,2015
11180,555,2015
11260,933,2015
11460,420,2015
11500,61,2015
11540,1119,2015
11700,2161,2015
12020,1159,2015
12060,30342,2015
12100,710,2015
12220,838,2015
12260,3035,2015
12420,22370,2015
12540,2200,2015
12580,8264,2015
12620,555,2015
12700,572,2015
12940,3569,2015
12980,59,2015
13020,147,2015
13140,1132,2015
13220,100,2015
13380,1144,2015
13460,2227,2015
13740,1764,2015
13780,249,2015
13820,3733,2015
13900,1082,2015
13980,476,2015
14010,396,2015
14020,395,2015
14100,190,2015
14260,5499,2015
14460,15036,2015
14500,1249,2015
14540,1147,2015
14740,918,2015
14860,2598,2015
15180,1285,2015
15260,535,2015
15380,1677,2015
15500,1032,2015
15540,916,2015
15680,641,2015
15940,558,2015
15980,6879,2015
16020,179,2015
16060,137,2015
16180,43,2015
16220,271,2015
16300,1073,2015
16540,231,2015
16580,1235,2015
16620,283,2015
16700,6590,2015
16740,19543,2015
16820,989,2015
16860,2093,2015
16940,440,2015
16980,15813,2015
17020,621,2015
17140,4661,2015
17300,1342,2015
17420,732,2015
17460,2938,2015
17660,1414,2015
17780,1712,2015
17820,3665,2015
17860,1433,2015
17900,4642,2015
17980,1244,2015
18020,233,2015
18140,7555,2015
18580,2153,2015
18700,142,2015
18880,2027,2015
19060,84,2015
19100,57146,2015
19140,159,2015
19180,10,2015
19300,2203,2015
19340,751,2015
19380,980,2015
19460,139,2015
19500,47,2015
19660,2047,2015
19740,18326,2015
19780,5707,2015
19820,7304,2015
20020,327,2015
20100,1061,2015
20220,255,2015
20260,841,2015
20500,4411,2015
20700,152,2015
20740,677,2015
20940,293,2015
21340,4491,2015
21060,308,2015
21140,309,2015
21300,78,2015
21500,267,2015
21660,721,2015
21780,763,2015
21820,7,2015
22020,2719,2015
22140,118,2015
22180,1386,2015
22220,3793,2015
22380,566,2015
22420,413,2015
22500,424,2015
22520,338,2015
22540,195,2015
22660,2434,2015
22900,466,2015
23060,1355,2015
23420,2322,2015
23460,83,2015
23540,1214,2015
23580,946,2015
23900,240,2015
24020,381,2015
24140,248,2015
24220,529,2015
24260,300,2015
24300,486,2015
24340,3672,2015
24420,237,2015
24500,226,2015
24540,3186,2015
24580,1018,2015
24660,2212,2015
24780,538,2015
24860,5896,2015
25060,1712,2015
25180,978,2015
25220,627,2015
25260,591,2015
25420,1615,2015
25500,406,2015
25540,1582,2015
25620,212,2015
25860,805,2015
25940,2102,2015
25980,545,2015
26140,378,2015
26300,59,2015
26380,663,2015
26420,56901,2015
26580,291,2015
26620,2607,2015
26820,862,2015
26900,8735,2015
26980,1327,2015
27060,279,2015
27100,117,2015
27140,1569,2015
27180,214,2015
27260,9671,2015
27340,894,2015
27500,216,2015
27620,270,2015
27740,689,2015
27780,47,2015
27860,482,2015
27900,531,2015
27980,502,2015
28020,623,2015
28100,89,2015
28140,8954,2015
28420,1464,2015
28660,2310,2015
28700,705,2015
28740,307,2015
28940,3060,2015
29020,441,2015
29100,497,2015
29180,2483,2015
29200,527,2015
29340,1034,2015
29420,636,2015
29460,3039,2015
29540,1154,2015
29620,1056,2015
29700,1848,2015
29740,760,2015
29820,10605,2015
29940,839,2015
30020,100,2015
30140,384,2015
30300,139,2015
30340,74,2015
30460,2206,2015
30620,77,2015
30700,2548,2015
30780,2699,2015
30860,614,2015
30980,248,2015
31020,178,2015
31080,34034,2015
31140,3979,2015
31180,1856,2015
31340,797,2015
31420,317,2015
31460,211,2015
31540,3498,2015
31700,921,2015
31740,496,2015
31860,808,2015
31900,62,2015
32580,4306,2015
32780,717,2015
32820,3951,2015
32900,232,2015
33100,23450,2015
33140,159,2015
33220,130,2015
33260,1030,2015
33340,3001,2015
33460,11673,2015
33540,574,2015
33660,907,2015
33700,413,2015
33740,605,2015
33780,291,2015
33860,1099,2015
34060,166,2015
34100,188,2015
34580,438,2015
34620,46,2015
34740,241,2015
34820,6154,2015
34900,172,2015
34940,4060,2015
34980,18291,2015
35100,435,2015
35300,1161,2015
35380,2495,2015
35620,86424,2015
35660,208,2015
35840,7141,2015
35980,531,2015
36100,1055,2015
36140,614,2015
36220,612,2015
36260,3120,2015
36420,6004,2015
36500,1020,2015
36540,4157,2015
36740,20474,2015
36780,710,2015
36980,243,2015
37100,1433,2015
37340,1918,2015
37460,988,2015
37620,177,2015
37860,2634,2015
37900,502,2015
37980,12317,2015
38060,22402,2015
38220,31,2015
38300,5264,2015
38340,214,2015
38540,190,2015
38940,1601,2015
38860,1980,2015
38900,13967,2015
39140,1377,2015
39300,1818,2015
39340,4549,2015
39380,282,2015
39460,1129,2015
39540,217,2015
39580,11987,2015
39660,798,2015
39740,416,2015
39820,375,2015
39900,2787,2015
40060,4875,2015
40140,9926,2015
40220,763,2015
40340,1776,2015
40380,2652,2015
40420,134,2015
40580,263,2015
40660,93,2015
40900,6184,2015
40980,382,2015
41420,1297,2015
41500,587,2015
41540,3031,2015
41620,6755,2015
41660,236,2015
41700,7824,2015
41740,9883,2015
41860,13386,2015
41940,5788,2015
42020,821,2015
42100,335,2015
42140,110,2015
42200,1082,2015
42220,621,2015
42340,2407,2015
42540,831,2015
42660,25008,2015
42680,873,2015
42700,162,2015
43100,123,2015
43300,340,2015
43340,1107,2015
43420,215,2015
43580,510,2015
43620,1926,2015
43780,524,2015
43900,1418,2015
44060,2738,2015
44100,383,2015
44140,458,2015
44180,2223,2015
44220,63,2015
41060,858,2015
41100,1658,2015
41140,211,2015
41180,7698,2015
44300,389,2015
44420,287,2015
44700,2431,2015
44940,217,2015
45060,1194,2015
45220,896,2015
45300,15653,2015
45460,215,2015
45500,333,2015
45540,1568,2015
45780,715,2015
45820,388,2015
45940,896,2015
46060,2428,2015
46140,3774,2015
46220,747,2015
46340,470,2015
46520,3833,2015
46540,246,2015
46660,627,2015
46700,1434,2015
47020,139,2015
47220,237,2015
47260,6722,2015
47300,1275,2015
47380,1507,2015
47460,214,2015
47580,1048,2015
47900,23007,2015
47940,414,2015
48060,147,2015
48140,241,2015
48260,48,2015
48300,593,2015
48540,115,2015
48660,80,2015
48620,2021,2015
48700,159,2015
48900,2358,2015
49020,774,2015
49180,2044,2015
49340,1385,2015
49420,395,2015
49620,778,2015
49660,311,2015
49700,371,2015
49740,768,2015
10180,306,2016
10420,909,2016
10500,230,2016
10540,405,2016
10580,2853,2016
10740,2465,2016
10780,390,2016
10900,1263,2016
11020,183,2016
11100,740,2016
11180,709,2016
11260,1046,2016
11460,438,2016
11500,77,2016
11540,743,2016
11700,3203,2016
12020,584,2016
12060,36357,2016
12100,1083,2016
12220,891,2016
12260,2968,2016
12420,21861,2016
12540,2256,2016
12580,8070,2016
12620,271,2016
12700,505,2016
12940,3426,2016
12980,44,2016
13020,71,2016
13140,1094,2016
13220,72,2016
13380,1183,2016
13460,2274,2016
13740,1206,2016
13780,338,2016
13820,3312,2016
13900,856,2016
13980,543,2016
14010,342,2016
14020,501,2016
14100,150,2016
14260,6758,2016
14460,13247,2016
14500,1849,2016
14540,1345,2016
14740,1059,2016
14860,1903,2016
15180,1569,2016
15260,526,2016
15380,1964,2016
15500,1353,2016
15540,861,2016
15680,698,2016
15940,554,2016
15980,5417,2016
16020,172,2016
16060,136,2016
16180,159,2016
16220,165,2016
16300,787,2016
16540,327,2016
16580,1011,2016
16620,185,2016
16700,6974,2016
16740,20574,2016
16820,1234,2016
16860,2487,2016
16940,476,2016
16980,19941,2016
17020,697,2016
17140,5867,2016
17300,1679,2016
17420,532,2016
17460,3053,2016
17660,1666,2016
17780,2860,2016
17820,5166,2016
17860,1304,2016
17900,4627,2016
17980,709,2016
18020,300,2016
18140,8637,2016
18580,1910,2016
18700,195,2016
18880,2529,2016
19060,85,2016
19100,55800,2016
19140,173,2016
19180,10,2016
19300,2520,2016
19340,647,2016
19380,1282,2016
19460,194,2016
19500,56,2016
19660,2696,2016
19740,21947,2016
19780,6697,2016
19820,7659,2016
20020,360,2016
20100,1276,2016
20220,368,2016
20260,621,2016
20500,4382,2016
20700,246,2016
20740,763,2016
20940,215,2016
21340,3054,2016
21060,467,2016
21140,354,2016
21300,41,2016
21420,70,2016
21500,338,2016
21660,1174,2016
21780,947,2016
21820,11,2016
22020,2479,2016
22140,104,2016
22180,953,2016
22220,4421,2016
22380,647,2016
22420,374,2016
22500,495,2016
22520,315,2016
22540,365,2016
22660,3532,2016
22900,703,2016
23060,1536,2016
23420,2904,2016
23460,97,2016
23540,1110,2016
23580,1578,2016
23900,347,2016
24020,359,2016
24140,269,2016
24220,443,2016
24260,386,2016
24300,597,2016
24340,4717,2016
24420,213,2016
24500,242,2016
24540,3009,2016
24580,1008,2016
24660,2735,2016
24780,861,2016
24860,5753,2016
25060,1776,2016
25180,955,2016
25220,698,2016
25260,605,2016
25420,1627,2016
25500,644,2016
25540,2065,2016
25620,174,2016
25860,655,2016
25940,1784,2016
25980,417,2016
26140,516,2016
26300,45,2016
26380,682,2016
26420,44732,2016
26580,250,2016
26620,2992,2016
26820,881,2016
26900,7773,2016
26980,1921,2016
27060,575,2016
27100,136,2016
27140,1673,2016
27180,278,2016
27260,11768,2016
27340,803,2016
27500,257,2016
27620,322,2016
27740,533,2016
27780,164,2016
27860,1028,2016
27900,422,2016
27980,567,2016
28020,724,2016
28100,86,2016
28140,10389,2016
28420,1887,2016
28660,2328,2016
28700,992,2016
28740,252,2016
28940,3637,2016
29020,318,2016
29100,281,2016
29180,1698,2016
29200,627,2016
29340,1563,2016
29420,683,2016
29460,4567,2016
29540,1287,2016
29620,1225,2016
29700,1158,2016
29740,770,2016
29820,13577,2016
29940,1395,2016
30020,100,2016
30140,432,2016
30300,108,2016
30340,185,2016
30460,2732,2016
30620,76,2016
30700,2384,2016
30780,2327,2016
30860,897,2016
30980,164,2016
31020,308,2016
31080,32114,2016
31140,5149,2016
31180,2648,2016
31340,663,2016
31420,236,2016
31460,300,2016
31540,4953,2016
31700,1097,2016
31740,962,2016
31860,404,2016
31900,69,2016
32580,4568,2016
32780,912,2016
32820,4354,2016
32900,720,2016
33100,18742,2016
33140,108,2016
33220,201,2016
33260,676,2016
33340,3992,2016
33460,14160,2016
33540,930,2016
33660,1195,2016
33700,573,2016
33740,670,2016
33780,511,2016
33860,805,2016
34060,21,2016
34100,236,2016
34580,505,2016
34620,124,2016
34740,233,2016
34820,6525,2016
34900,212,2016
34940,3829,2016
34980,20182,2016
35100,292,2016
35300,918,2016
35380,2986,2016
35620,43231,2016
35660,312,2016
35840,8104,2016
35980,330,2016
36100,1428,2016
36140,642,2016
36220,448,2016
36260,3610,2016
36420,6740,2016
36500,2081,2016
36540,4240,2016
36740,23254,2016
36780,411,2016
36980,377,2016
37100,1609,2016
37340,2915,2016
37460,1055,2016
37620,132,2016
37860,2873,2016
37900,350,2016
37980,12245,2016
38060,28583,2016
38220,46,2016
38300,4403,2016
38340,191,2016
38540,202,2016
38940,1937,2016
38860,2397,2016
38900,14729,2016
39140,1602,2016
39300,2564,2016
39340,5317,2016
39380,282,2016
39460,665,2016
39540,358,2016
39580,13514,2016
39660,971,2016
39740,436,2016
39820,400,2016
39900,3600,2016
40060,4919,2016
40140,10921,2016
40220,542,2016
40340,1737,2016
40380,2067,2016
40420,213,2016
40580,316,2016
40660,226,2016
40900,7204,2016
40980,281,2016
41420,1478,2016
41500,627,2016
41540,3227,2016
41620,8731,2016
41660,172,2016
41700,12241,2016
41740,10791,2016
41860,14787,2016
41940,6167,2016
42020,853,2016
42100,489,2016
42140,117,2016
42200,842,2016
42220,919,2016
42340,1971,2016
42540,1018,2016
42660,25489,2016
42680,1018,2016
42700,128,2016
43100,307,2016
43300,730,2016
43340,1186,2016
43420,149,2016
43580,534,2016
43620,3084,2016
43780,405,2016
43900,1921,2016
44060,3764,2016
44100,426,2016
44140,585,2016
44180,1977,2016
44220,55,2016
41060,1107,2016
41100,2196,2016
41140,101,2016
41180,7711,2016
44300,393,2016
44420,302,2016
44700,1998,2016
44940,273,2016
45060,1370,2016
45220,1613,2016
45300,17752,2016
45460,414,2016
45500,129,2016
45540,1072,2016
45780,827,2016
45820,388,2016
45940,711,2016
46060,2466,2016
46140,3752,2016
46220,1465,2016
46340,581,2016
46520,1658,2016
46540,234,2016
46660,1018,2016
46700,944,2016
47020,65,2016
47220,134,2016
47260,6213,2016
47300,1316,2016
47380,1765,2016
47460,220,2016
47580,839,2016
47900,25687,2016
47940,551,2016
48060,105,2016
48140,245,2016
48260,35,2016
48300,574,2016
48540,34,2016
48660,226,2016
48620,2098,2016
48700,93,2016
48900,2947,2016
49020,882,2016
49180,2727,2016
49340,1623,2016
49420,422,2016
49620,878,2016
49660,466,2016
49700,261,2016
49740,897,2016
10180,322,2017
10420,920,2017
10500,416,2017
10540,539,2017
10580,2346,2017
10740,2256,2017
10780,302,2017
10900,1118,2017
11020,114,2017
11100,775,2017
11180,902,2017
11260,1148,2017
11460,657,2017
11500,69,2017
11540,930,2017
11700,2771,2017
12020,771,2017
12060,33832,2017
12100,1090,2017
12220,1361,2017
12260,3338,2017
12420,26700,2017
12540,2640,2017
12580,6840,2017
12620,304,2017
12700,871,2017
12940,3639,2017
12980,84,2017
13020,70,2017
13140,1302,2017
13220,83,2017
13380,1256,2017
13460,2055,2017
13740,1225,2017
13780,404,2017
13820,2689,2017
13900,632,2017
13980,737,2017
14010,386,2017
14020,604,2017
14100,169,2017
14260,7909,2017
14460,14757,2017
14500,1667,2017
14540,1270,2017
14740,1094,2017
14860,1719,2017
15180,1245,2017
15260,618,2017
15380,1657,2017
15500,1223,2017
15540,870,2017
15680,1164,2017
15940,525,2017
15980,6954,2017
16020,598,2017
16060,130,2017
16180,138,2017
16220,273,2017
16300,992,2017
16540,412,2017
16580,838,2017
16620,135,2017
16700,7267,2017
16740,22869,2017
16820,1276,2017
16860,2631,2017
16940,573,2017
16980,22132,2017
17020,823,2017
17140,6465,2017
17300,1813,2017
17420,639,2017
17460,3227,2017
17660,1778,2017
17780,3083,2017
17820,4965,2017
17860,1634,2017
17900,4629,2017
17980,917,2017
18020,204,2017
18140,8892,2017
18580,1186,2017
18700,136,2017
18880,2471,2017
19060,50,2017
19100,62524,2017
19140,343,2017
19180,104,2017
19300,2417,2017
19340,750,2017
19380,1251,2017
19460,160,2017
19500,39,2017
19660,3054,2017
19740,22735,2017
19780,6367,2017
19820,10089,2017
20020,390,2017
20100,1554,2017
20220,241,2017
20260,665,2017
20500,4924,2017
20700,248,2017
20740,568,2017
20940,191,2017
21340,3277,2017
21060,507,2017
21140,560,2017
21300,101,2017
21420,95,2017
21500,265,2017
21660,842,2017
21780,921,2017
21820,15,2017
22020,1891,2017
22140,91,2017
22180,935,2017
22220,4729,2017
22380,697,2017
22420,434,2017
22500,1021,2017
22520,775,2017
22540,185,2017
22660,2935,2017
22900,721,2017
23060,1722,2017
23420,2933,2017
23460,112,2017
23540,2269,2017
23580,1363,2017
23900,249,2017
24020,264,2017
24140,280,2017
24220,417,2017
24260,282,2017
24300,755,2017
24340,4839,2017
24420,250,2017
24500,205,2017
24540,3646,2017
24580,1176,2017
24660,3055,2017
24780,1137,2017
24860,5299,2017
25060,1938,2017
25180,1257,2017
25220,983,2017
25260,272,2017
25420,1564,2017
25500,452,2017
25540,1507,2017
25620,134,2017
25860,880,2017
25940,2275,2017
25980,505,2017
26140,546,2017
26300,38,2017
26380,437,2017
26420,42395,2017
26580,264,2017
26620,2959,2017
26820,1185,2017
26900,9079,2017
26980,1327,2017
27060,468,2017
27100,193,2017
27140,1743,2017
27180,440,2017
27260,12959,2017
27340,1005,2017
27500,378,2017
27620,322,2017
27740,696,2017
27780,83,2017
27860,866,2017
27900,765,2017
27980,861,2017
28020,1036,2017
28100,198,2017
28140,9851,2017
28420,1809,2017
28660,2456,2017
28700,788,2017
28740,336,2017
28940,4574,2017
29020,92,2017
29100,432,2017
29180,1771,2017
29200,976,2017
29340,1898,2017
29420,913,2017
29460,4604,2017
29540,1436,2017
29620,907,2017
29700,1331,2017
29740,1126,2017
29820,14073,2017
29940,306,2017
30020,84,2017
30140,366,2017
30300,125,2017
30340,252,2017
30460,2326,2017
30620,224,2017
30700,2508,2017
30780,3215,2017
30860,1373,2017
30980,187,2017
31020,484,2017
31080,31084,2017
31140,5785,2017
31180,2388,2017
31340,770,2017
31420,320,2017
31460,415,2017
31540,4632,2017
31700,1033,2017
31740,381,2017
31860,516,2017
31900,77,2017
32580,4297,2017
32780,805,2017
32820,3860,2017
32900,550,2017
33100,19723,2017
33140,157,2017
33220,142,2017
33260,766,2017
33340,3644,2017
33460,15100,2017
33540,972,2017
33660,998,2017
33700,719,2017
33740,752,2017
33780,450,2017
33860,761,2017
34060,77,2017
34100,268,2017
34580,663,2017
34620,72,2017
34740,257,2017
34820,8587,2017
34900,183,2017
34940,4194,2017
34980,20631,2017
35100,295,2017
35300,750,2017
35380,2966,2017
35620,50578,2017
35660,237,2017
35840,8179,2017
35980,295,2017
36100,2246,2017
36140,809,2017
36220,492,2017
36260,3534,2017
36420,5419,2017
36500,1067,2017
36540,4955,2017
36740,19065,2017
36780,549,2017
36980,264,2017
37100,2565,2017
37340,2753,2017
37460,1786,2017
37620,133,2017
37860,2609,2017
37900,257,2017
37980,13544,2017
38060,29312,2017
38220,74,2017
38300,4328,2017
38340,194,2017
38540,223,2017
38940,2287,2017
38860,2517,2017
38900,15983,2017
39140,1976,2017
39300,2010,2017
39340,7245,2017
39380,368,2017
39460,1297,2017
39540,278,2017
39580,14180,2017
39660,779,2017
39740,411,2017
39820,382,2017
39900,4564,2017
40060,7145,2017
40140,14676,2017
40220,592,2017
40340,1449,2017
40380,1778,2017
40420,235,2017
40580,215,2017
40660,157,2017
40900,9503,2017
40980,335,2017
41420,1555,2017
41500,776,2017
41540,3605,2017
41620,7367,2017
41660,197,2017
41700,12516,2017
41740,10441,2017
41860,16952,2017
41940,8539,2017
42020,1094,2017
42100,407,2017
42140,221,2017
42200,1280,2017
42220,1178,2017
42340,2118,2017
42540,580,2017
42660,27334,2017
42680,1121,2017
42700,181,2017
43100,390,2017
43300,843,2017
43340,1125,2017
43420,202,2017
43580,473,2017
43620,2914,2017
43780,959,2017
43900,2316,2017
44060,3641,2017
44100,322,2017
44140,521,2017
44180,1904,2017
44220,121,2017
41060,819,2017
41100,3209,2017
41140,109,2017
41180,7295,2017
44300,467,2017
44420,307,2017
44700,2779,2017
44940,222,2017
45060,1159,2017
45220,3053,2017
45300,18268,2017
45460,275,2017
45500,185,2017
