GEOID,NAME,B19013_001,year
35004,ZCTA5 35004,58832,2013
35005,ZCTA5 35005,46059,2013
35006,ZCTA5 35006,51929,2013
35007,ZCTA5 35007,64299,2013
35010,ZCTA5 35010,37380,2013
35013,ZCTA5 35013,30375,2013
35014,ZCTA5 35014,36286,2013
35016,ZCTA5 35016,42771,2013
35019,ZCTA5 35019,54342,2013
35020,ZCTA5 35020,24570,2013
35022,ZCTA5 35022,57765,2013
35023,ZCTA5 35023,46460,2013
35031,ZCTA5 35031,32492,2013
35032,ZCTA5 35032,52083,2013
35033,ZCTA5 35033,45137,2013
35034,ZCTA5 35034,23085,2013
35035,ZCTA5 35035,55586,2013
35036,ZCTA5 35036,13125,2013
35040,ZCTA5 35040,60838,2013
35042,ZCTA5 35042,33603,2013
35043,ZCTA5 35043,90106,2013
35044,ZCTA5 35044,29883,2013
35045,ZCTA5 35045,38011,2013
35046,ZCTA5 35046,45410,2013
35049,ZCTA5 35049,42005,2013
35051,ZCTA5 35051,36601,2013
35052,ZCTA5 35052,NA,2013
35053,ZCTA5 35053,38885,2013
35054,ZCTA5 35054,46148,2013
35055,ZCTA5 35055,35726,2013
35057,ZCTA5 35057,41938,2013
35058,ZCTA5 35058,37292,2013
35060,ZCTA5 35060,42321,2013
35061,ZCTA5 35061,39272,2013
35062,ZCTA5 35062,51653,2013
35063,ZCTA5 35063,31182,2013
35064,ZCTA5 35064,34938,2013
35068,ZCTA5 35068,46170,2013
35070,ZCTA5 35070,20114,2013
35071,ZCTA5 35071,58875,2013
35072,ZCTA5 35072,28546,2013
35073,ZCTA5 35073,39954,2013
35074,ZCTA5 35074,NA,2013
35077,ZCTA5 35077,35091,2013
35078,ZCTA5 35078,34525,2013
35079,ZCTA5 35079,47599,2013
35080,ZCTA5 35080,79570,2013
35082,ZCTA5 35082,NA,2013
35083,ZCTA5 35083,36966,2013
35085,ZCTA5 35085,42779,2013
35087,ZCTA5 35087,39375,2013
35089,ZCTA5 35089,26155,2013
35091,ZCTA5 35091,78194,2013
35094,ZCTA5 35094,51912,2013
35096,ZCTA5 35096,45233,2013
35097,ZCTA5 35097,40317,2013
35098,ZCTA5 35098,30500,2013
35111,ZCTA5 35111,79311,2013
35112,ZCTA5 35112,54870,2013
35114,ZCTA5 35114,83658,2013
35115,ZCTA5 35115,40032,2013
35116,ZCTA5 35116,68222,2013
35117,ZCTA5 35117,72500,2013
35118,ZCTA5 35118,50063,2013
35119,ZCTA5 35119,NA,2013
35120,ZCTA5 35120,52939,2013
35121,ZCTA5 35121,41418,2013
35124,ZCTA5 35124,71871,2013
35125,ZCTA5 35125,38146,2013
35126,ZCTA5 35126,62154,2013
35127,ZCTA5 35127,62381,2013
35128,ZCTA5 35128,45331,2013
35130,ZCTA5 35130,39556,2013
35131,ZCTA5 35131,32748,2013
35133,ZCTA5 35133,54263,2013
35135,ZCTA5 35135,60353,2013
35136,ZCTA5 35136,36645,2013
35139,ZCTA5 35139,28333,2013
35143,ZCTA5 35143,44340,2013
35146,ZCTA5 35146,68036,2013
35147,ZCTA5 35147,74150,2013
