GEOID,NAME,B25064_001,year
35552,ZCTA5 35552,345,2013
35553,ZCTA5 35553,464,2013
35554,ZCTA5 35554,533,2013
35555,ZCTA5 35555,457,2013
35559,ZCTA5 35559,NA,2013
35563,ZCTA5 35563,349,2013
35564,ZCTA5 35564,473,2013
35565,ZCTA5 35565,553,2013
35570,ZCTA5 35570,535,2013
35571,ZCTA5 35571,516,2013
35572,ZCTA5 35572,NA,2013
35574,ZCTA5 35574,422,2013
35575,ZCTA5 35575,491,2013
35576,ZCTA5 35576,522,2013
35577,ZCTA5 35577,NA,2013
35578,ZCTA5 35578,667,2013
35579,ZCTA5 35579,805,2013
35580,ZCTA5 35580,581,2013
35581,ZCTA5 35581,514,2013
35582,ZCTA5 35582,459,2013
35584,ZCTA5 35584,575,2013
35585,ZCTA5 35585,505,2013
35586,ZCTA5 35586,405,2013
35587,ZCTA5 35587,NA,2013
35592,ZCTA5 35592,463,2013
35593,ZCTA5 35593,460,2013
35594,ZCTA5 35594,460,2013
35601,ZCTA5 35601,583,2013
35603,ZCTA5 35603,615,2013
35610,ZCTA5 35610,513,2013
35611,ZCTA5 35611,596,2013
35613,ZCTA5 35613,741,2013
35614,ZCTA5 35614,590,2013
35615,ZCTA5 35615,NA,2013
35616,ZCTA5 35616,629,2013
35618,ZCTA5 35618,529,2013
35619,ZCTA5 35619,610,2013
35620,ZCTA5 35620,612,2013
35621,ZCTA5 35621,575,2013
35622,ZCTA5 35622,662,2013
35630,ZCTA5 35630,565,2013
35633,ZCTA5 35633,647,2013
35634,ZCTA5 35634,709,2013
35640,ZCTA5 35640,586,2013
35643,ZCTA5 35643,683,2013
35645,ZCTA5 35645,667,2013
35646,ZCTA5 35646,575,2013
35647,ZCTA5 35647,917,2013
35648,ZCTA5 35648,588,2013
35649,ZCTA5 35649,NA,2013
35650,ZCTA5 35650,524,2013
35651,ZCTA5 35651,610,2013
35652,ZCTA5 35652,503,2013
35653,ZCTA5 35653,551,2013
35654,ZCTA5 35654,532,2013
35660,ZCTA5 35660,604,2013
35661,ZCTA5 35661,654,2013
35670,ZCTA5 35670,616,2013
35671,ZCTA5 35671,321,2013
35672,ZCTA5 35672,511,2013
35673,ZCTA5 35673,576,2013
35674,ZCTA5 35674,605,2013
35677,ZCTA5 35677,661,2013
35739,ZCTA5 35739,633,2013
35740,ZCTA5 35740,533,2013
35741,ZCTA5 35741,783,2013
35744,ZCTA5 35744,585,2013
35745,ZCTA5 35745,NA,2013
35746,ZCTA5 35746,NA,2013
35747,ZCTA5 35747,555,2013
35748,ZCTA5 35748,566,2013
35749,ZCTA5 35749,1018,2013
35750,ZCTA5 35750,677,2013
35751,ZCTA5 35751,NA,2013
35752,ZCTA5 35752,621,2013
35754,ZCTA5 35754,594,2013
35755,ZCTA5 35755,621,2013
35756,ZCTA5 35756,903,2013
35757,ZCTA5 35757,954,2013
35758,ZCTA5 35758,900,2013
35759,ZCTA5 35759,1006,2013
35760,ZCTA5 35760,679,2013
35761,ZCTA5 35761,773,2013
35763,ZCTA5 35763,1223,2013
35764,ZCTA5 35764,338,2013
35765,ZCTA5 35765,512,2013
35766,ZCTA5 35766,NA,2013
35768,ZCTA5 35768,441,2013
35769,ZCTA5 35769,575,2013
35771,ZCTA5 35771,653,2013
35772,ZCTA5 35772,464,2013
35773,ZCTA5 35773,728,2013
35774,ZCTA5 35774,NA,2013
35775,ZCTA5 35775,NA,2013
35776,ZCTA5 35776,551,2013
35801,ZCTA5 35801,691,2013
35802,ZCTA5 35802,750,2013
35803,ZCTA5 35803,818,2013
35805,ZCTA5 35805,566,2013
35806,ZCTA5 35806,863,2013
35808,ZCTA5 35808,1361,2013
35810,ZCTA5 35810,811,2013
35811,ZCTA5 35811,830,2013
35816,ZCTA5 35816,620,2013
35824,ZCTA5 35824,825,2013
35896,ZCTA5 35896,NA,2013
35901,ZCTA5 35901,585,2013
35903,ZCTA5 35903,612,2013
35904,ZCTA5 35904,604,2013
35905,ZCTA5 35905,581,2013
35906,ZCTA5 35906,690,2013
35907,ZCTA5 35907,1298,2013
35950,ZCTA5 35950,622,2013
35951,ZCTA5 35951,618,2013
35952,ZCTA5 35952,527,2013
35953,ZCTA5 35953,715,2013
35954,ZCTA5 35954,570,2013
35956,ZCTA5 35956,688,2013
35957,ZCTA5 35957,545,2013
35958,ZCTA5 35958,656,2013
35959,ZCTA5 35959,620,2013
35960,ZCTA5 35960,580,2013
35961,ZCTA5 35961,427,2013
35962,ZCTA5 35962,486,2013
35963,ZCTA5 35963,421,2013
35966,ZCTA5 35966,439,2013
