"EventID","EventType","StartDateTime","EndDateTime","EnteredOn","EventAgency","ParkingHeld","Borough","CommunityBoard(s)","PolicePrecinct(s)","Category","SubCategoryName","Country","ZipCode(s)"
"814764","Shooting Permit","10/09/2024 06:00:00 AM","10/09/2024 10:00:00 PM","10/04/2024 04:57:13 PM","Mayor's Office of Media & Entertainment","WALLABOUT STREET between CLASSON AVENUE and KENT AVENUE,  KENT AVENUE between WILLIAMSBURG STREET WEST and PARK AVENUE,  FLUSHING AVENUE between TAAFFE PLACE and FRANKLIN AVENUE,  WALLABOUT STREET between KENT AVENUE and FRANKLIN AVENUE,  WEST STREET between MILTON STREET and GREENPOINT AVENUE,  WEST STREET between MILTON STREET and GREENPOINT AVENUE,  GREENPOINT AVENUE between DEAD END and FRANKLIN STREET,  WEST STREET between MILTON STREET and NOBLE STREET,  MILTON STREET between WEST STREET and FRANKLIN STREET,  FRANKLIN STREET between MILTON STREET and NOBLE STREET,  NOBLE STREET between WEST STREET and FRANKLIN STREET,  PARK AVENUE between CLASSON AVENUE and FRANKLIN AVENUE","Brooklyn","1, 3,","79, 90, 94,","Film","Feature","United States of America","11205, 11222, 11249,"
"814762","Shooting Permit","10/11/2024 07:00:00 AM","10/11/2024 07:00:00 PM","10/04/2024 04:52:21 PM","Mayor's Office of Media & Entertainment","WEST   58 STREET between 6 AVENUE and 5 AVENUE","Manhattan","5,","18,","WEB","Not Applicable","United States of America","10019, 10020, 10022, 10103,"
"814759","Shooting Permit","10/09/2024 09:00:00 AM","10/09/2024 10:00:00 PM","10/04/2024 04:44:13 PM","Mayor's Office of Media & Entertainment","FRANKLIN STREET between HUDSON STREET and VARICK STREET,  VARICK STREET between NORTH MOORE STREET and WEST BROADWAY,  LEONARD STREET between HUDSON STREET and WEST BROADWAY,  WEST BROADWAY between LEONARD STREET and WORTH STREET,  WORTH STREET between CENTRE STREET and BAXTER STREET,  LAFAYETTE STREET between WORTH STREET and DUANE STREET,  DUANE STREET between WEST BROADWAY and BROADWAY,  READE STREET between CHURCH STREET and BROADWAY,  BROADWAY between DUANE STREET and MURRAY STREET,  CHAMBERS STREET between ELK STREET and CENTRE STREET,  READE STREET between ELK STREET and LAFAYETTE STREET","Manhattan","1,","1, 5,","Television","Cable-episodic","United States of America","10007, 10013,"
"814757","Shooting Permit","10/11/2024 02:00:00 PM","10/12/2024 02:00:00 AM","10/04/2024 04:44:09 PM","Mayor's Office of Media & Entertainment","EAST   66 STREET between PARK AVENUE and MADISON AVENUE,  EAST   66 STREET between PARK AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   66 STREET and EAST   68 STREET,  EAST   67 STREET between PARK AVENUE and MADISON AVENUE,  PARK AVENUE between EAST   64 STREET and EAST   66 STREET,  EAST   65 STREET between PARK AVENUE and 3 AVENUE,  LEXINGTON AVENUE between EAST   64 STREET and EAST   66 STREET","Manhattan","8,","19,","Television","Cable-episodic","United States of America","10065,"
"814746","Shooting Permit","10/09/2024 06:00:00 AM","10/09/2024 10:00:00 PM","10/04/2024 03:38:00 PM","Mayor's Office of Media & Entertainment","30 STREET between 47 AVENUE and HUNTERS POINT AVENUE","Queens","2,","108,","Television","Cable-episodic","United States of America","11101,"
"814745","Shooting Permit","10/08/2024 11:00:00 AM","10/09/2024 03:00:00 AM","10/04/2024 03:34:58 PM","Mayor's Office of Media & Entertainment","WEST STREET between GRAVESEND NECK ROAD and VILLAGE ROAD EAST,  GRAVESEND NECK ROAD between MACDONALD AVENUE and WEST STREET","Brooklyn","15,","61,","Film","Feature","United States of America","11223,"
"814740","Rigging Permit","10/07/2024 06:00:00 AM","10/07/2024 08:00:00 PM","10/04/2024 03:07:23 PM","Mayor's Office of Media & Entertainment","83 STREET between COOPER AVENUE and DORAN AVENUE","Queens","5,","104,","Television","Episodic series","United States of America","11385,"
"814726","Theater Load in and Load Outs","10/08/2024 12:01:00 PM","10/14/2024 06:00:00 AM","10/04/2024 02:32:52 PM","Mayor's Office of Media & Entertainment","WEST   51 STREET between 5 AVENUE and 6 AVENUE,  WEST   50 STREET between ROCKEFELLER PLAZA and 6 AVENUE","Manhattan","5,","18,","Theater","Theater","United States of America","10019, 10020, 10112,"
"814722","Shooting Permit","10/10/2024 06:00:00 AM","10/10/2024 10:00:00 PM","10/04/2024 01:46:35 PM","Mayor's Office of Media & Entertainment","EAGLE STREET between WEST STREET and FRANKLIN STREET,  WEST STREET between EAGLE STREET and GREEN STREET,  FREEMAN STREET between WEST STREET and FRANKLIN STREET","Brooklyn","1,","94,","Film","Feature","United States of America","11222,"
"814674","Shooting Permit","10/13/2024 06:00:00 AM","10/13/2024 10:00:00 PM","10/04/2024 10:16:07 AM","Mayor's Office of Media & Entertainment","TIFFANY STREET between VIELE AVENUE and EAST BAY AVENUE,  VIELE AVENUE between TIFFANY STREET and MANIDA STREET,  EAST BAY AVENUE between MANIDA STREET and TIFFANY STREET","Bronx","2,","41,","Commercial","Commercial","United States of America","10474,"
"814673","DCAS Prep/Shoot/Wrap Permit","10/13/2024 07:00:00 AM","10/13/2024 07:00:00 PM","10/04/2024 10:06:07 AM","Mayor's Office of Media & Entertainment","GRAND CONCOURSE between EAST  161 STREET and EAST  158 STREET,  GRAND CONCOURSE between EAST  158 STREET and EAST  156 STREET,  EAST  158 STREET between WALTON AVENUE and GRAND CONCOURSE,  WALTON AVENUE between EAST  158 STREET and EAST  161 STREET","Bronx","4,","44,","Commercial","Commercial","United States of America","10451,"
"814671","Shooting Permit","10/14/2024 06:00:00 AM","10/14/2024 09:00:00 PM","10/04/2024 10:01:24 AM","Mayor's Office of Media & Entertainment","GRAND CONCOURSE between EAST KINGSBRIDGE ROAD and EAST FORDHAM ROAD,  EAST  192 STREET between CRESTON AVENUE and GRAND CONCOURSE,  CRESTON AVENUE between EAST  191 STREET and EAST  192 STREET","Bronx","7,","52,","Commercial","Commercial","United States of America","10458, 10468,"
"814669","Shooting Permit","10/08/2024 07:00:00 AM","10/08/2024 10:00:00 PM","10/04/2024 09:57:13 AM","Mayor's Office of Media & Entertainment","MESEROLE AVENUE between HUMBOLDT STREET and MOULTRIE STREET,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  CALYER STREET between HUMBOLDT STREET and DIAMOND STREET","Brooklyn","1,","94,","Television","Cable-episodic","United States of America","11222,"
